claim_id,manuscript_file,manuscript_line,station,model,condition,horizon,metric,manuscript_value,recovered_value,absolute_difference,source_file,source_row,status
IE-020,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Ringsend Dublin,xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,24,0,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MATCH
IE-021,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Edenderry (Co. Offaly),xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,16,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-022,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Edenderry (Co. Offaly),xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,16,7,9,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MISMATCH
IE-023,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Edenderry (Co. Offaly),xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,16,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-024,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Edenderry (Co. Offaly),xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,16,7,9,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MISMATCH
IE-025,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Henry St. Limerick,xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,18,18,0,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-026,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Henry St. Limerick,xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,18,0,18,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MISMATCH
IE-027,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Henry St. Limerick,xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,24,0,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-028,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Henry St. Limerick,xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,24,0,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MATCH
IE-029,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Portlaoise (Co. Laois),xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,24,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-030,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Portlaoise (Co. Laois),xgboost_direct,lags_only,strict (longest run from h=1),H_star_strict_hours,24,24,0,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MATCH
IE-031,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Portlaoise (Co. Laois),xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,unchanged (not individually listed),,reports/ireland_e2_met_results_interpretation.md,,MATCH
IE-032,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),Portlaoise (Co. Laois),xgboost_direct,lags_meteo,strict (longest run from h=1),H_star_strict_hours,24,24,0,"outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary, non-canonical, later/different pipeline -- see files_manifest.csv)",,MATCH
IE-033,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),all 8 stations,xgboost_direct,lags_only & lags_meteo,relax (last positive-skill horizon),H_star_relax_hours,24,24,0,reports/ireland_e2_met_results_interpretation.md,H_star_relax saturates at 24 hours...,MATCH
IE-034,manuscripts/manuscript_main.tex,469-497 (tab:ireland_hstar),all 8 stations,xgboost_direct,lags_only & lags_meteo,relax (last positive-skill horizon),H_star_relax_hours,24,24,0,outputs/tables/master_meteorology_diagnostic_table.csv (auxiliary),,MATCH
IE-035,manuscripts/manuscript_main.tex,459-460 / 493-494,mean across 8 stations,xgboost_direct,lags_meteo - lags_only,strict,mean_delta_H_star_strict_hours,0.9,0.9,0.0,reports/ireland_e2_met_results_interpretation.md (derived from its per-station table),,MATCH
IE-036,manuscripts/manuscript_main.tex,"510-536 (tab:ireland_dm), derived by counting DM-statistic sign per cell",all 8 stations,xgboost_direct,lags_meteo vs lags_only,"h=1,6,12,24 (32 cells)",DM_favours_count_lags_meteo/lags_only/undetermined,23/8/1,23/8/1,0,reports/ireland_e2_met_results_interpretation.md,Counts by outcome table,MATCH
IE-037,manuscripts/manuscript_main.tex,"230-256 (tab:descriptive, n columns summed train+eval)",Birr (Co. Offaly),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,total_hourly_rows_2020_2023,25457,25465,8,reports/ireland_experiment_setup.md,Dataset summary table,MISMATCH
IE-038,manuscripts/manuscript_main.tex,"230-256 (tab:descriptive, n columns summed train+eval)",Dublin Airport,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,total_hourly_rows_2020_2023,25462,25462,0,reports/ireland_experiment_setup.md,Dataset summary table,ROUNDING_MATCH
IE-039,manuscripts/manuscript_main.tex,"230-256 (tab:descriptive, n columns summed train+eval)",Dundalk (Co. Louth),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,total_hourly_rows_2020_2023,25596,25675,79,reports/ireland_experiment_setup.md,Dataset summary table,MISMATCH
IE-040,manuscripts/manuscript_main.tex,"230-256 (tab:descriptive, n columns summed train+eval)",Pearse St. Dublin,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,total_hourly_rows_2020_2023,22097,22098,1,reports/ireland_experiment_setup.md,Dataset summary table,ROUNDING_MATCH
IE-041,manuscripts/manuscript_main.tex,"230-256 (tab:descriptive, n columns summed train+eval)",Ringsend Dublin,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,total_hourly_rows_2020_2023,27036,27047,11,reports/ireland_experiment_setup.md,Dataset summary table,MISMATCH
IE-042,manuscripts/manuscript_main.tex,"230-256 (tab:descriptive, n columns summed train+eval)",Edenderry (Co. Offaly),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,total_hourly_rows_2020_2023,16555,16784,229,reports/ireland_experiment_setup.md,Dataset summary table,MISMATCH
IE-043,manuscripts/manuscript_main.tex,"230-256 (tab:descriptive, n columns summed train+eval)",Henry St. Limerick,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,total_hourly_rows_2020_2023,18180,18279,99,reports/ireland_experiment_setup.md,Dataset summary table,MISMATCH
IE-044,manuscripts/manuscript_main.tex,"230-256 (tab:descriptive, n columns summed train+eval)",Portlaoise (Co. Laois),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,total_hourly_rows_2020_2023,27046,27047,1,reports/ireland_experiment_setup.md,Dataset summary table,ROUNDING_MATCH
IE-045,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Birr (Co. Offaly),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_mean_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-046,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Birr (Co. Offaly),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_sd_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-047,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Birr (Co. Offaly),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_p95_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-048,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Dublin Airport,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_mean_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-049,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Dublin Airport,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_sd_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-050,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Dublin Airport,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_p95_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-051,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Dundalk (Co. Louth),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_mean_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-052,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Dundalk (Co. Louth),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_sd_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-053,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Dundalk (Co. Louth),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_p95_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-054,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Pearse St. Dublin,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_mean_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-055,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Pearse St. Dublin,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_sd_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-056,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Pearse St. Dublin,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_p95_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-057,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Ringsend Dublin,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_mean_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-058,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Ringsend Dublin,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_sd_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-059,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Ringsend Dublin,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_p95_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-060,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Edenderry (Co. Offaly),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_mean_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-061,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Edenderry (Co. Offaly),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_sd_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-062,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Edenderry (Co. Offaly),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_p95_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-063,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Henry St. Limerick,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_mean_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-064,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Henry St. Limerick,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_sd_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-065,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Henry St. Limerick,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_p95_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-066,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Portlaoise (Co. Laois),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_mean_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-067,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Portlaoise (Co. Laois),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_sd_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-068,manuscripts/manuscript_main.tex,230-256 (tab:descriptive),Portlaoise (Co. Laois),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PM10_p95_train_ugm3,see manuscript table,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-069,manuscripts/manuscript_main.tex,786-818 (tab:rho1),Dundalk (Co. Louth),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,rho1_lag1_autocorrelation_2020_2022,0.945,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-070,manuscripts/manuscript_main.tex,786-818 (tab:rho1),Henry St. Limerick,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,rho1_lag1_autocorrelation_2020_2022,0.876,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-071,manuscripts/manuscript_main.tex,786-818 (tab:rho1),Portlaoise (Co. Laois),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,rho1_lag1_autocorrelation_2020_2022,0.864,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-072,manuscripts/manuscript_main.tex,786-818 (tab:rho1),Ringsend Dublin,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,rho1_lag1_autocorrelation_2020_2022,0.843,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-073,manuscripts/manuscript_main.tex,786-818 (tab:rho1),Pearse St. Dublin,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,rho1_lag1_autocorrelation_2020_2022,0.842,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-074,manuscripts/manuscript_main.tex,786-818 (tab:rho1),Dublin Airport,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,rho1_lag1_autocorrelation_2020_2022,0.815,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-075,manuscripts/manuscript_main.tex,786-818 (tab:rho1),Birr (Co. Offaly),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,rho1_lag1_autocorrelation_2020_2022,0.815,NOT_FOUND,,,,SOURCE_NOT_FOUND
IE-076,manuscripts/manuscript_main.tex,786-818 (tab:rho1),Edenderry (Co. Offaly),NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,rho1_lag1_autocorrelation_2020_2022,0.804,NOT_FOUND,,,,SOURCE_NOT_FOUND
